orgnr,navn,web,stiftet,enhkode,enhtype_beskr,sektorkode,naeringskode,postnr,error_msg
929280105,BJØRNSEN RENT A RAVE,rent-a-rave.party,null,ENK,Enkeltpersonforetak,8200,77.390,null,429
998293154,EPIDEMI AS,www.epidemi.no,null,BEDR,Bedrift,null,72.110,4623,429
916407920,LANDSFORENINGEN FOR PRADER-WILLIS,www.prader.willis.no,null,BEDR,Underenhet næringsdr./off.forv,null,88.995,null,429
998730163,STURLE STRAUSS LISÆTH COACHING,www.sslcoaching.com,null,ENK,Enkeltpersonforetak,8200,85.599,null,429
912492346,MEDAC GESELLSCHAFT FÜR,www.medac.no,null,NUF,Norskreg. utenlandsk foretak,null,46.460,1312,429
998052912,NEDRE GLOMMA SPORTSKYTTERKLUBB,idrett.speaker.no/Organisation.asp?id=64653,1992-01-09,FLI,Forening/lag/innretning,7000,93.120,null,429
914594944,SIRI HJORTH,lcj.no,null,ENK,Enkeltpersonforetak,8200,90.031,null,429
975797740,NORSK GRØNLANDSHUNDKLUBB,www.huskygaarden.com,1995-07-01,FLI,Forening/lag/innretning,7000,null,2265,429
886626622,NILS-INGAR AADNE LÆR&LE,www.nilsi.no,null,ENK,Enkeltpersonforetak,8200,90.019,null,429
982560950,STORD BRANNSERVICE,s4s.no,null,ENK,Enkeltpersonforetak,8200,33.120,null,429
914130328,RISHAUG ENTERPRISES AS,www.ultraskin.no,null,BEDR,Bedrift,null,47.919,null,429
982345995,INSPIRATOR INVESTMENT NETWORK AS,www.inspirator.net,2000-08-23,AS,Aksjeselskap,2100,90.020,null,429
972653896,IVAS MUSIC EXPRESS A 3,www.ime-consult.no,null,BEDR,Bedrift,null,85.599,9272,429
921327404,DEVELOGIC NORWAY AS,www.develogic.no,2018-07-12,AS,Aksjeselskap,2100,62.010,null,429
987094427,FIMREITE DESIGN  Bjørn W. Fimreite,www.vipbutikken.no,null,ENK,Enkeltpersonforetak,8200,62.020,null,429
998333121,ACCURATO AS,oscardesign.no,2012-03-01,AS,Aksjeselskap,2100,74.102,null,429
977564212,SMITH ANDERSEN CONSULTING,www.eyecare.no,null,ENK,Enkeltpersonforetak,8200,46.460,null,429
992297549,BEATE BØE DOREMI TEATER,www.doremiteater.no,null,ENK,Enkeltpersonforetak,8200,90.033,null,429
916996586,POLARDOGS SVALBARD PHILIPP BERGAU,www.philippbergau.blogspot.com/,null,ENK,Enkeltpersonforetak,8200,93.291,null,429
884252342,ONSØY HELHETLIG HELSE NINA LØKKE,www.trivselitoppen.no,null,ENK,Enkeltpersonforetak,8200,85.599,null,429
917500274,ORACLE POLSKA SP. Z O.O.,www.oracle.com,null,AAFY,Ikkenæringsdrivende virksomhet,null,62.020,null,429
913567498,PHUC MINH NGUYEN,puckoo.net,null,ENK,Enkeltpersonforetak,8200,74.200,null,429
954958019,BORETTSLAGET SJØMANNSVEGEN 10 AL,www.obos.no,1975-06-16,BRL,Borettslag,8300,68.201,129,429
920825478,DIGIDESK AS,www.digidesk.no,null,BEDR,Bedrift,null,62.020,null,429
989806122,BØLESTRANDA BÅTFORENING,www.bolestranda.no,1989-11-01,FLI,Forening/lag/innretning,7000,94.991,3718,429
995294745,QUARTETT BOLIG AS,www.quartett.no,2010-03-01,AS,Aksjeselskap,2100,41.109,null,429
924801441,MARTIJN HOLTKAMP FREELANCER,www.holtkampart.com,null,ENK,Enkeltpersonforetak,8200,90.031,null,429
911788225,GRANRUDS,www.granruds.no,null,BEDR,Bedrift,null,62.010,null,429
977008751,TREFOLDIGHET SOKN,www.trefoldighet.menighet.no,null,BEDR,Bedrift,null,94.910,4801,429
918807330,BLOMBERG WEB OG DESIGN AS,bwod.no,null,BEDR,Underenhet næringsdr./off.forv,null,74.102,5251,429
982487994,SAMEIET ROSENBORGGATEN 13,oef.no,1983-09-30,ESEK,Eierseksjonssameie,null,97.000,129,429
925652199,LERHOL SETER OG SAUNA,www.eldmølla.no,null,BEDR,Bedrift,null,68.209,null,429
873600152,NORGES TOPPIDRETTSGYMNAS,www.ntg.no,null,BEDR,Bedrift,null,85.310,1319,429
913216105,LILLEHAMMER IDRETTSFORENING,www.lillehammerif.no,null,BEDR,Bedrift,null,93.120,2602,429
997847873,ØVRE NAUSTDAL UTMARKSLAG,www.kringlen.com/ONU.html,1998-03-19,FLI,Forening/lag/innretning,7000,94.991,null,429
996552683,NORDICMARK AS,www.nordicmark.no,2011-01-26,AS,Aksjeselskap,2100,47.111,4094,429
821332362,BETANIA HAUKANES,www.betania-haukanes.com,1970-02-17,FLI,Forening/lag/innretning,7000,94.910,5396,429
974384043,PER WEUMS TRAFIKKSKOLE AS,www.pstrafikkskole.no,1995-03-02,AS,Aksjeselskap,2100,85.530,null,429
986687394,SANA PHARMA MEDICAL AS,www.sanapharmamedical.no,null,BEDR,Bedrift,null,46.460,null,429
